image_id,prediction,ref1,ref2,ref3,ref4,ref5
416330,"The image depicts a black and white cat lying on a red blanket, with its head resting on the blanket and its eyes closed.",The cat is laying down squashing one side of its face.,A black and white cat lies on a bed and relaxes,A black and white cat is lazily laying around.,A closeup of a black and white cat with one eye open.,A photo of a cat laying down on a blanket.
416991,"A row of colorful umbrellas stands out against a backdrop of a building and a bridge, with a body of water reflecting the scene.",A black/white photo of a poolside dining area with the umbrellas colored.,A row of tables with the reflections showing in the water below.,Multi-colored umbrellas in a black and white picture near the water,Covered seating in front of a restaurant by a lake.,A bunch of different colored umbrellas on tables.
417779,"A fire hydrant stands on the sidewalk, with a street and buildings in the background.",A grey and orange fire hydrant next to a street.,A fire hydrant stands at the corner of two city streets.,A fire hydrant in the middle of the street curbside,There is a fireplug at the corner of this intersection in the residential section of town.,a red and grey fire hydrant on a street corner.
419096,"A train engine, painted orange and black with the letters ""BNSF"" and the number ""2024"" on its side, is parked on a track.",A train traveling down tracks net to a  bridge.,A train going down the train track.,A freight train running along tracks beneath a bridge.,A red and black train on the train tracks.,A red and black BNSF train travels along it's tracks.
419882,"The image depicts a train station with multiple train tracks and a train on the left side, set against a backdrop of buildings and a yellow sky.",a lot of trains that are parked next to each other,A filtered picture shows the top of trains.,A train yard with several parked trains.,A bunch of trains sitting in the middle of a day.,An orange color photo of many trains on the tracks.
421060,"A skier in a black and teal jacket is performing a trick on a snow-covered slope, with a ski lift and a crowd of people in the background.",Competitive spirit during a competition in mid air,A skier races down the track at a competition.,A person is skiing on a slope covered in snow.,The skier is jumping into the air above a half pipe.,Skier performing aerial jump during outdoor competition gathering.
422886,A man in a white cap and light blue shirt is eating a hot dog with cheese and ketchup.,A man eating a hot dog with cheese and onions.,A man making a face while biting a hot dog with cheese on it.,a man in a hat is biting into a hotdog,a man eating a hotdog that has a lot of cheese,A man eagerly stuffing a cheesy hot dog into his mouth
423798,"A street scene at night with a streetlight, trees, and a road with a car's headlights visible in the distance.",A street at night is lit up by streetlights.,A motion blur street scene with the car lights streaking.,"An empty street at night with bright lights shining from the light poles, and one very bight light reflecting off the pavement.",Beams of light coming off of different objects on a city street.,The head beams from the vehicle can be seen clearly as the vehicle makes it's way up the street under the street lights.
424551,"A skier in a blue jacket and black pants stands on a snowy slope, holding a ski pole and looking out at the mountainous landscape.",a man on skis stands on a snowy hill side,"Two people climbing up a mountain, getting ready to ski.",People climbing up the snowy mountain side on skis,a person is going up a snow covered mountain,A skier is standing at the top of ski slope.
425361,"A man sits at a desk, holding a glass of wine and a piece of paper, with a plate of food in front of him.",An individual is capture in the stillness of the picture.,A man sitting at a desk with food holding a wine glass.,A man who is holding a wine glass.,A young man that is having some wine and something to eat.,A man at an office desk drinking a glass of wine.
426253,"A microwave oven is visible, containing a plate of food inside, with a bottle of wine and a stack of red and white towels on a shelf nearby.",A plate of food being heated in a microwave.,a microwave oven with some food inside of it,a microwave that has some food in it,Food is cooking in a stainless steal microwave.,Food is cooking inside of a microwave oven.
427034,"A dog is lying on the floor next to a laptop computer, with a person's hand visible on the keyboard.",a person and their dog are browsing on the mac book,A brown and black dog standing next to a man sitting on a laptop computer.,A dog is resting it's head on a laptop while watching the screen.,A dog has it's face on a laptop computer.,A dog resting its head on a laptop keyboard.
427655,"A brown horse with a white face and white leg wraps is walking on a road, with a red carriage behind it, carrying two women.",a horse is pulling a carriage with people down a street,A horse and carriage that has some people sitting in it.,Two ladies are riding in a wagon being pulled by a horse.,A horse drawn carriage with two women riding on it.,A horse pulling some people in a carriage in the street.
429011,"A man stands in front of a blue police box on a street corner, with a green truck and a black car parked nearby.",Model of two cars with a man near a blue phonebooth.,Two toy vehicles and a police box are set up in a street scene.,The model toys are positioned on the table.,a green red and white truck a building and a black car,A car and a truck on a city street.
429761,"The image depicts two men in white tennis attire standing on a tennis court, with one man holding a tennis racket and the other giving a high-five.",Two men shaking hands while standing on a tennis court.,Two tennis players shaking hands over the net,Two tennis players are facing each other over a tennis net.,Two tennis players on tennis court at net shaking hands.,two men on a tennis court shaking hands over the net
430961,"The image depicts a baseball player in a white uniform, with the word ""RAYS"" prominently displayed on his chest, throwing a ball on a baseball field.",A baseball player preparing to throw a pitch during a game.,A man that is standing in the dirt with a glove.,A baseball player lunges and reaches back with the ball.,A baseball player pitching a baseball on top of a field.,A man in a Rays uniform is throwing a baseball
431876,"A group of mounted police officers, clad in black uniforms and helmets, stand on a street corner, with one officer positioned in front of a white horse and another in front of a brown horse, while a third officer stands behind a black horse.",The cops in the city are riding horses threw the streets.,an image of horses that are standing on the sidewalk,a group of people on some horses that are standing on a road.,Four cops on the back of horses stand in the street.,Several mounted police officers and their horses line up on the street.
433192,"A laptop computer is placed on a bed with a striped comforter, accompanied by a power cord and a book.",A laptop that is sitting on a bed.,A computer laptop is placed on a bed.,A laptop computer is sitting open on a bed.,A laptop computer with power cube sitting on a twin sized bed.,A made bed with a laptop computer on it
434204,"A skateboarder, wearing a black hoodie and blue jeans, rides a skateboard down a concrete ramp.",A man riding on a skateboard on the sidewalk.,a kid riding on a skateboard on the cement,There is a skateboarder riding his board on the sidewalk,A skateboarder with one fut on a skateboard raising it up.,A pavement where a person foot are seen having skates.
435003,"A computer workstation with two monitors, a keyboard, and a chair is situated in a room with a window and a desk.",A laptop computer sitting on a desk next to a desktop monitor.,a computer desk with multiple computers and screens,A desk with two computer monitors and a laptop.,A computer desk that has three monitors on top of it.,A computer workstation with a laptop and two additional monitors.
436551,"The image depicts a black swan with a distinctive red bill and white feathers on its tail, swimming in a body of water.",two black birds are swimming  in some water,Two black geese are swimming in cloudy water.,A goose with a feb bill is eating grass.,Two black swans are floating in a lake.,A black swan has some wet grasses in its mouth.
437351,"The image depicts a woman sitting on a suitcase, surrounded by other suitcases, with a white wall and a beige carpet in the background.",A woman in a hat sitting next to luggage.,A young woman sits near three suitcases of luggage.,A woman is sitting and posing next to luggage.,A girl sitting next to three old suitcases.,"A women in a hat, tank top, argyle boots, and socks sits beside stacked luggage."
438774,"A man in a red shirt stands in a kitchen, facing a woman who is sitting at a table with a cake on it.",A group of people that are standing in front of a island.,a small party of people eats some pizza on a table,People with drinks standing around a kitchen island.,A group of people standing in a kitchen having conversation.,a coupe of people are standing around a small table
439522,"A woman in a white hat and black clothing is skiing on a snowy slope, with a blurred background suggesting a mountainous or winter landscape.",She is cross-country skiing for the exercise it provides for her.,The woman using the skies is wearing all black.,a woman in skies is walking in the snow,A woman riding skis across snow covered ground.,A cross country skier listens to music as she glides across the snow.
440171,"A man sits on the back of an elephant, with the elephant's trunk and tusks visible in the foreground.",A man is sitting on the back of an elephant.,A man riding on the back of a tusked elephant by a muddy river,A man riding on the back of an elephant along a dirt road.,Man riding an elephant up a hill near a field.,The man is riding the elephants near the water.
441286,A man in a black wetsuit rides a white surfboard on a wave in the ocean.,A person on a surf board riding a wave.,The surfer is getting ready to ride the wave.,A person riding waves in a body of water.,A man surfing the waves on a surfboard in the ocean.,Surfer riding large breaking wave on open ocean.
442161,"A man and woman stand together in a dimly lit room, with the man wearing a white shirt and the woman sporting pink hair, both holding wine glasses.",Three people pose for a picture while drinking wine,Three individuals are at a restaurant and drinking wine.,Three people standing around drinking wine together,three people pose with wineglasses held up to their faces,A group of people tasting wine at a bar.
442822,"A group of small boats, including a white boat with the name ""Sanssouci"" on its side, are docked in a body of water, with a few trees and buildings visible in the background.",Several rows of boats docked on a body of water.,Several boats in the water docked at a marina.,Boats floating in rows at the dock in the river,Empty boats docked on the water in a harbor.,Many boats anchored on docks in the harbor.
444142,"A man in a red and yellow shirt is playing tennis on a court, with his arm raised in the air.",A man holding a tennis racquet on top of a tennis court.,A man throws a tennis ball into the air to serve it,a male tennis player in a red shirt playing tennis,A person holding a tennis racket in their hand.,A young man preparing to serve during a tennis match.
445675,"A giraffe stands in a field, its long neck and legs visible as it faces the camera.",A tall giraffe standing on top of a grass covered field.,a giraffe is standing in a large field,One tall giraffe on top of the dry terrain.,A giraffe is standing tall in a dirt field.,A large giraffe is standing near a body of water in a field.
446206,"A bus travels down a road alongside a bridge with a train on it, set against a backdrop of buildings and trees.",There is a train and bus in the cityscape.,a train and a bus in the middle of a city,A passenger bus on the road with a train on the overpass,a monorail going down the track as a bus parks by the side of a road,A bus is passing in front of big buildings and beautiful gardens.
447187,"A baseball player in a red helmet swings a bat at a pitcher on the mound, with a catcher crouched behind home plate and a batter in the background.",A man is swinging a bat a ball being pitched at him.,A group of mn on a field playing a game of baseball,An umpire is in jump action while the pitcher launches the ball.,A group of boys playing baseball on a field.,A pitcher throwing a baseball toward a batter.
447789,"A street sign with the text ""S Roberto Maestas Festival St 2500"" is prominently displayed in front of a tree, with a red and white ""DO NOT"" sign partially visible below it.",A red do not enter sign under a green street sign.,A group of street signs sitting in front of a tree.,A Do Not Enter Sign with a Two Way Street Sign above it.,A street sign near a large leafy tree.,A street sign is above a do not enter sign.
448810,"The image depicts a street sign with multiple signs pointing in different directions, each featuring a unique name and icon, set against a backdrop of a yellow building with white trim and windows.",A street sign with six different locations on it.,Street markers pointing to different locations in front of a few stores.,A street sign sitting on the side of a road.,Street signs going in every direction in front of a yellow building.,Number of street signs in front of a big building.
449661,"A man sits in a hospital bed, wearing a light blue shirt and covered with a white blanket, with medical equipment visible in the background.",A room with many medical supplies in it.,A woman lies in a hospitable bed in a panoramic scene of the room.,Person laying in a hospital bed with lots of equipment.,A lady laying in a bed in a room full of stuff.,Panoramic view of a hospital room with medical machines and a woman lying in hospital bed.
450439,"The image depicts a large red, white, and blue kite flying in the sky, with a smaller version of the same kite trailing behind it.",a patriotic kite flying through the clear blue sky.,"A red, white, and blue kite sails through the blue sky.","The kite is red, white, and blue and is flying.","Two red, white and blue kites flying in the sky.","A red, white and blue kit flying among the sky."
451144,"A man and a woman stand on a snowy mountain peak, gazing out at a breathtaking view of mountains and a frozen lake.",a couple of people on skis sit on top of a snowy hill,Two skiers taking in the view of the mountain range on a cloudy day.,The two people stand on the snow in skis.,Two men are standing atop a snowy hill top.,Two skiers looking out at the view from a high cliff
451879,"A baseball player in a white and blue uniform with the number 4 on the back is shown throwing a ball, with a batter in a green shirt and black helmet running towards him.","Baseball players in action, one person dressed in green running while the others in white are looking and reaching toward the ball.",A group of men standing on top of a baseball field.,a baseball player throwing a ball during a game,A baseball player throws the ball to his team mate as they try to get another player out.,"A group of men playing baseball, one is running, while another is throwing a ball to another player."
453001,"A woman stands in a garden, holding a suitcase and looking at another woman who is standing in front of her.",A woman watching another woman walk with a suitcase on wheels.,a girl watching another girl trip while pulling her suitcase,A woman carrying a suit case and losing her balance.,A girl is having a hard time pulling a suit case.,A young beautiful woman in a short jean skirt.
453722,"A living room with a stone fireplace, a television on a stand, and a couch is visible in the image.",room with wood floors and a stone fire place,Living room area of home with wood flooring and fireplace.,A living room with a fireplace and glass slider doors.,a small roomw ith a televisiona nd some furniture in it,The chair and couch are in the room with the fireplace.
454798,A man in a cowboy hat and orange shirt rides a brown horse with a white tail over a wooden bridge in an outdoor arena.,there is a young boy that is riding a horse,A person rides a horse across an obstacle.,A young boy rides a horse up a small ramp.,A boy riding on a horse that is crossing over a board.,a man that is sitting on top of a horse
455448,A hand holds a cupcake with chocolate frosting and colorful sprinkles.,A cupcake being decorated with frosted and non pareils.,A person holding a cup cake with chocolate icing and sprinkles.,close up of a person holding a cupcake with sprinkles,a hand holding a cupcake with brown frosting and colorful balls on it,Holding a chocolate cupcake with colored sprinkles still in the paper cup.
456015,"The image depicts four people riding horses on a beach, with the ocean waves visible in the background.",People are riding horses down a beach next to the water.,A group of men riding horses on a beach.,People wearing jackets are riding horses on the beach.,Men on horse back riding on the beach,The group of friends is riding down the beach.
456865,"A large white airplane with red and blue accents is parked on a runway, featuring a red and blue logo on its tail.",An airplane just landed on the runway,A large plane sits on the large runway.,A large white airplane parked upon a runway,an airplane sitting on the tarmac with clouds above it,airplane on the runway and a cloudy sky
458109,"A train is parked on a track, with its side visible and a person standing in the doorway.",A train parked next to some train tracks.,"A passenger train rides on the rails, with another set of rails nearby.",a train that is next to a train track,Shadows are cast onto the side of a train because of the sun.,A train sits on the tracks by the platform.
458768,"The image depicts a modern kitchen with white cabinets and countertops, featuring a sink, stove, and a large window that offers a view of a backyard with a patio set.",A brightly lit kitchen with lots of natural light.,A modern kitchen in white with stainless steel lights.,A kitchen filled with lots of white counter space.,A KITCHEN IN THE ROOM WITH WHITE APPLIANCES,A modern home kitchen and sitting area looking out towards the back yard
459467,"The image depicts a small airplane on a runway, with trees visible in the background.",A small wheeled airplane on an open runway.,A small airplane is about to take off on the runway.,"A small, single person aircraft sits on the runway.",A black plane taking off from an airport runway.,A grey and black plane on a runway with trees in the background.
460147,"A busy city street is depicted, with a mix of cars, trucks, and buses navigating through the scene, while buildings and trees line the road on either side.",A city street filled with lots of traffic and lined with buildings.,Semi carrying cars on busy road in city near white car.,Traffic is traveling both ways on the busy streeet.,Traffic can be seen far down the road in this photograph.,A busy highway is being viewed from a distance.
460683,"A man in a gray suit and blue tie with a religious message stands in a room with a table and chairs, and a person in a yellow shirt is seated at the table.",A man wearing a blue tie with the ten commandments on it.,A man is showing off his religious tie,"A man holds out his tie, which has writing on it.",A man is wearing a tie with many words on it,A man that has the ten commandments on his tie
461405,"A flock of sheep, including lambs, grazes in a grassy field surrounded by trees.",A group of sheep in a grassy area with trees in the back ground.,A herd of sheep walking across a lush green field.,A lot of sheep all in on grassy area.,Flock of white woolen sheep standing in grassy area.,There is a group of sheep grazing on the grass in the field.
462643,"The image depicts a hand holding an open, square-shaped device with a screen and a clear plastic window.",A person holding a broken up cell phone.,A person holding a broken cell phone while looking at the screen.,A small electronic device sits in the palm of someone's hand.,A broken piece of equipment is sitting in the persons hand.,A person is holding a small electronic device.
463522,"A horse-drawn carriage is parked on the side of a road in front of a row of buildings, with a person walking a dog on the sidewalk nearby.",A horse pulling  carriage travels through a busy area in a city,A horse is pulling something down a residential street.,A large set of horses carrying a carriage down a street.,A couple of brown horses walking down a street next to buildings.,A horse stands on the side of the road with a harness on.
463842,"A bed with a metal frame and a white mattress is positioned on a wooden floor, surrounded by a collection of empty plastic bottles in various colors.",A small bed with lots of bottles underneath,A single bed sits on a wood floor surrounded by partially-filled bottles of colored liquid.,A bed with a bunch of water bottles gathered around it.,A bed on an empty floor surrounded by plastic bottles.,a bunch of bottle sitting under a little bed
464522,"The image depicts a dog standing in a grassy area, with its head turned to the right and a chain collar around its neck.",A brown and white dog standing next to another dog.,A dog with a collar standing on the grass,a little dog looking at another dog in the yard,A small dog looking at a larger dog.,A small dog with a chain collar looking at another dog.
465430,"A toasted sandwich is placed on a baking sheet lined with aluminum foil, accompanied by a metal spoon.",a couple of sandwiches are on a pan,Two sandwhiches sitting on a pan with tin foil.,Two sandwiches on Rye bread sit on a foil covered pan.,Some cooked breads are on top of a plate.,Two sandwiches with toasted bread set on a baking sheet that has tinfoil over it.
466085,"The image depicts a small, unfinished bathroom with a white sink, wooden walls, and a window, featuring a toilet seat and pipes on the floor.",A bathroom that has been gutted with the shower basin the only thing left.,A bathroom that is under construction with a standing shower.,an unfinished bathroom with a sink and pipes on the floor,A shower base is installed as a bathroom undergoes renovations.,A rundown bathroom is being stripped and remodeled.
466835,"The image depicts a large bunch of green bananas growing on a tree in a tropical setting, surrounded by lush vegetation and a few dead leaves.",A grouping of bananas hanging in a tree next to grassy area.,A bunch of bananas hanging from a tree.,A stalk of banana's hanging from a tree in the forest.,A large bunch of bananas  hangs from a tree.,some banana trees bananas dirt and bushes
468233,"A silver watch with a metal band lies on a table, surrounded by a collection of cards and other items.",A watch set to 12:25 sits on the table.,A chrome colored wrist watch laying near other items.,A close-up of the silver watch in front of a computer monitor.,A watch sitting on top of a table next to a computer.,The mans wrist watch is laying on the table.
468954,"A man and a woman sit on a couch, with the man holding a Wii remote in his hands.",A man with glasses on playing wii with a wii remote in his hand.,A man and woman are playing a video game.,A couple of people in a room with a remote.,A man and girl playing with an interactive video game system.,A group of people enjoying the Nintendo Wii.
470121,"A red tray holds a variety of small, colorful food items, including sushi rolls, fruit, and other dishes, on a table in the background.",Two plates that have different types of food on it near a bottle.,A table topped with red trays of food.,"A plate full of sushi,with more behind it.",a couple of plates with some sushi on it,An assortment of pastries on a red table
471450,A brown bear and two cubs are seen walking through a grassy field.,Three bears standing in a field outside.,Three bears are walking around in a field.,Three bears grazing out in a field of grass.,Three bears are wandering in a grassy field.,Some very big furry brown bears in a big grass field.
472046,"A large, white kitchen island with a sink and stove is situated in front of a living room with a couch and a dining area with a table, all set against a backdrop of a large window overlooking a body of water.","A kitchen with a stove, sink, table, chairs and couches.",A large modern kitchen has pineapples on the counter.,a kitchen with two pineapples on the counter and a wok pot on the burner.,A kitchen and dining area in a house with an open floor plan that looks out over the landscape from a large set of windows.,Empty stylish kitchen and living room with big picture windows.
473219,"A bride and groom stand together, holding hands, with the bride wearing a white dress and veil, and the groom in a white suit, while a man in a black suit holds an open book between them.",A man and woman look into each others eyes while getting married.,a man and woman are being married to one another,The bride and groom stand at the alter near a priest.,A man and woman getting married in a church.,Woman and man preparing to be married with a pastor.
474039,"A baby lies on a rug, surrounded by a teddy bear and a white stuffed animal, with a purple blanket in the background.",A baby sitting in between to large stuffed animals.,A little baby sitting up surrounded by teddy bears.,A baby sitting in the middle of a bunch of teddy bears.,A baby snuggled between teddy bears while hands in mouth.,A baby sitting between big stuffed animals.
474452,"A parking lot with a row of cars parked along the side of a building is visible, featuring a sign indicating ""No Parking Anytime"" and a yellow line marking the edge of the parking area.",A red sign notifying drivers that there is no parking allowed at any time.,A sign in a parking lot next a building.,a no parking sign at some sort of shopping mall.,A building near the sidewalk with a yellow curb and a no parking sign next to it,A street sign on the side of a lot next to a building.
475365,"The image depicts the rear of a train, featuring a window, a blue and white color scheme, and the Amtrak logo.",a close up of an the front of an amtrak train,A blue and white train traveling down tracks near a building.,A front end of a big train near a bridge.,an Amtrak train sitting on the train track,A blue and grey Amtrak train is displayed.
476119,"A man is riding a skateboard on a road, wearing a yellow helmet and black clothing.",a man skating on the road very fast,A person wearing a motorcycle helmet is riding a skateboard.,A man riding a skateboard down a street in front of a red car.,A man with a helmet on riding a skateboard in the street.,A skateboarder rides down the street with a helmet
476787,"A pizza is being prepared on a white cutting board, with a bowl of dough and a knife nearby, suggesting that the pizza is in the early stages of preparation.",There is a homemade pizza on a cutting board.,a homemade pizza  is on a cutting board,The pizza is ready to go into the oven.,There is a pizza on the cutting board,A close-up photo of uncooked pizza on a cutting board.
477805,"The image depicts a man sitting in a dark room, illuminated by a laptop screen.",A man with glasses sitting in front of a laptop computer.,A man types quickly on a laptop at night.,Man using his laptop computer in a dark room,A man typing on a laptop computer in the dark.,A man types swiftly on his laptop in the darkness.
478862,"The image depicts a large silver airplane with the word ""FIFI"" painted on its side, featuring two propellers and an American flag attached to its front.","Groups of people walk around a huge, multi engine airplane.",An army plane sitting on the tarmac,A large propeller airplane parked on an airport tarmac.,A large plane with two propellers  on it,Groups of people admire a large propeller plane on the runway.
479732,"A toasted sandwich with a variety of fillings, including fish, vegetables, and herbs, is placed on a white plate.",A very interesting sandwich containing lots of vegetables.,A stuffed sandwich is sitting on a Styrofoam container.,A gourmet sandwich with fresh vegetables in a takeout box,Vegetables spill out of a sandwich sitting in a box.,"A sandwich of meat, carrots, cilantro and cucumber."
480936,"A woman sits on a chair on a porch, holding a plate of food and wearing a blue floral top and denim shorts.",A barefoot woman eating food outside from a plate on her lap.,A person that is eating some food sitting down.,A woman sitting in a chair with a plate of food on her lap.,A woman in sunglasses sitting in a chair and holding a plate.,"A barefoot, smiling woman eats food off of a paper plate while sitting under a porch."
481480,"The image depicts a horse race in progress, with three brown horses and their jockeys racing on a dirt track, set against a backdrop of a scoreboard displaying numbers and a flagpole flying an American flag.",Two jockeys ride their horses in a race at the track.,Horses racing on a dirt track at a race track.,Horses racing on a dirt track with flowers around the scoreboard.,A couple of men racing horses next to each other.,Horses and jockeys running on a racing track.
482477,"The image depicts a bird perched on a tree branch, with its body facing left and its head turned to the right.",there is a bird that is sitting at the top of a branch,A small bird sitting on top of a branch.,A bird is perched on top of a large stick.,A bird perched on top of a tree branch with large wings.l,blue and white bird standing on a branch
482978,"The image depicts a train car with a yellow and orange exterior, featuring a large window on its side and a row of seats inside.",an image of a subway bus going thru the subway station,A train passing by with empty seats on it.,This is a multi colored train at this train station,A silver and orange train in a train station.,a close up of a train with a view inside
484404,"The image depicts the interior of a bus with a row of seats and a window, while outside, a white bus with a red stripe is visible.",There are not many passengers on the bus.,a couple of buses that are parked next to each other,A view of the back of a bus from inside.,The inside of a city bus in a bus depot.,The inside of an empty public bus with black seats.
485237,"A large commercial airplane is being serviced on the tarmac, with a smaller plane visible in the background.",Two large jets sitting on top of an airport runway.,Two commercial jets on a runway at an airport.,Two planes are on a runway beside trucks.,Two jumbo jet air planes on a runway facing each other.,Two large jets facing each other at an airport.
486046,"The image depicts a giraffe standing in front of a small building, with a zebra visible in the background.",a giraffe staring right into the camera,a close up of a giraffe with a zebra in the background,A baby giraffe and a baby zebra stand near a green hut.,A giraffe is close up next to the camera.,A giraffe and two zebras in a dirt area next to fence.
488166,"A man stands on a balcony, leaning against a railing, with a cityscape in the background and a table in front of him holding a slice of pizza and a coffee cup.",The man stands on fence railing beside a table with food on it.,a slice of pizza sitting next to a coffee cup on an outdoor table,A man is standing at the railing of his balcony.,A man leaning on a railing is looking at the plate of food.,A man leads on the railing while food sits on the table.
488736,"The image depicts a brick building with two large clocks mounted on its facade, one displaying the time 10:10 and the other showing 10:05.",Large four sided clock hangs on the corner of the building.,A clock suspended on the outside of a brown stone building.,a building with a large clock on the outside.,A clock attached to a brick building.,A clock fastened to a brick store front reads 10 after 10
489842,"The image depicts a group of children gathered around a man dressed as Santa Claus, posing for a festive holiday photo.",All of the children are gathered around Santa Claus.,A black and white image of people sitting near a santa,Many children surrounded around a person with a beard on.,A bunch of kids are posing with santa,Many children sit around a person in a Santa costume.
491008,"A man and woman stand in a restaurant, with the woman holding a pizza and the man wearing a striped shirt and khaki pants.",A man and a woman holding up a pizza in a seating area.,The man and woman at the restaurant are holding a full pizza.,A waitress and a man are holding up a large pizza.,A man and woman are holding up a pizza.,A waitress and restaurant owner showing off a pizza in front of a mural of Venice.
491470,"A snowy street scene features a crosswalk, a building with a glass facade, and a red traffic light.","A snowy, icy, empty city street and a stoplight.","A cleared crosswalk in a city on a snowy, slushy day",A city street that has piles on snow on it,The road in the city is quiet and empty.,A city with snow and slush filling the ground.
492110,"The image shows a man sitting at a table in a restaurant or café, working on a laptop computer.",A man looking at a laptop with a confused look,A man sits in a coffee shop working on his laptop computer.,A man on a laptop in a coffee shop.,A man sitting at a desk on a laptop computer.,A man is using his laptop in a cafe
492968,"The image depicts a snowboarder in motion, wearing a helmet, goggles, and a jacket, with the snowboarder's body positioned at an angle, suggesting they are turning or carving through the snow.",A snowboarder with black and white clothes finishing a run.,A man riding a snowboard down a snow covered slope.,A man on a snow board going down a snow covered hill.,This image is of a man snowboarding down a hill.,a ski boarder skiing down the side of a mountain.
493613,"The image depicts a skateboarder in mid-air, with a skateboard and a shoe visible in the foreground, set against a backdrop of a road and grassy area.",A pair of shoes flips over a skateboard on a road.,A skateboard turned upside down in a street with shoes hovering over it,A skateboard flipping over a road with two shoes but no person.,The upturned skateboard is below a floating pair of shoes.,A pair of shoes that are next to a skateboard.
494759,"A woman and a child stand on a beach, flying a kite with a dragon design.",Two people on a beach flying a kite in the air.,Two people on a beach flying a kite.,Two people fly a kite on a beach.,Two people are on a beach flying a kite.,Two people standing on a sandy beach flying a kite.
496409,"A skier in a yellow jacket and black pants is descending a snowy slope, with a second person visible in the background.",some guy that is skiing down a hill in some snow,A man skis in a very snowy looking mountain.,A skier descends a mountain slope while snow falls.,The skier is coming down the slope on a very snowy day.,A skier slaloms down a snowy hill in low visibility
497599,"A man with brown hair and a beard, wearing a dark blue t-shirt, stands in front of a laptop computer.",A man in a tee looking at a computer,a man standing by a table looking at a laptop,A young man stands over a lap top computer screen.,A man with a beard and mustache thoughtfully stares into a computer screen at some sort of a meeting.,A man looking down at an open laptop.
498807,"A young girl in a wetsuit rides a pink surfboard on a wave, with the ocean visible in the background.",A young girl tries to keep her balance on a surfboard.,Young girl in black balances on a pink surfboard.,A girl in black wet suit riding on a surfboard.,A young girl riding a surfboard in the ocean,A person on a surfboard on the water.
499622,"A police officer on a motorcycle is driving down a road, with the officer wearing a helmet and uniform.",A cop riding on the back of a motorcycle.,A policeman  on a police motorcycle in the street.,A police officer riding a wide white motorcycle.,A police officer riding a bike in the street.,A police officer is riding a motorcycle down the street.
500464,"A white pedestal sink is situated in a corner of a bathroom, accompanied by a mirror, a cabinet, and a shelf adorned with various personal care items.",Bathroom with a white tiled floor and sink.,A bathroom with the sink and medicine cabinet visible.,A sink in a bathroom is shown with other items.,"A sink, mirror and toiletries in a bathroom.",The bathroom with the white tile has been cleaned.
501005,"A baseball player in a white uniform swings a bat at home plate, with a catcher in red and a umpire behind him.",derek jeter swings his bat at a baseball,A hitter that just swung his bat in a baseball game.,baseball players with a bat and glove at the pitch,A guy is playing baseball while wearing a white uniform.,A man with a baseball bat that is in the dirt.
502336,"A woman walks down a street, passing by a restaurant with a sign reading ""Canton"" and a street sign indicating the direction of the ""Erlaastraße"".",A group of people walking down a street next to a tall building.,Black and white photograph of people walking on a street.,A group of ladies walking down a street,The passersby ignore the sign for the Canon Chinese restaurant.,Pedestrians walking on cobbled sidewalk past multiple storefronts..
503841,A traffic light with a green light is visible in front of a large building with many windows.,two traffic lights in front of a huge building,Green stop lights are set against a tall building.,two street lights that are both on the green light,Two green stop lights in front of a skyscraper,Two green street lights in front of a building with a lot of windows.
504589,"A man in a white tank top and gray shorts is playing frisbee on a sandy beach, with a woman in a yellow shirt and gray shorts standing nearby.",Two people are playing in sand with a frisbee.,Two friends throwing a frisbee on a sandy lot.,Couple playing Frisbee on the beach in summer,A woman in a yellow shirt is about to catch a white frisbee.,A young lady and a young man playing frisbee on the sand.
505789,"A group of people, including a child in a pink coat and a man in a blue jacket, stand in front of a brick archway with a black metal fence, surrounded by trees and a blue sky.",Two children standing near wrought iron fence near brick building.,Children scale and stand on a fence overlooking an arched entrance.,Two kids in pink and purple jackets standing by a fence.,Children look over the wrought iron fence into the brick archways.,A pair of children stand on a fence together.
506707,"A baseball player in a gray uniform and blue helmet runs towards home plate, with a catcher in a black uniform and helmet standing nearby, while a man in a white shirt and gray pants watches from the sidelines.",A baseball player runs into home plate during a game.,A man is running the bases in a baseball game.,A group of players playing a baseball game.,A man is runing to home base in a baseball game.,A man in a white shirt and gray pants walks toward a grassy area as kids in baseball uniforms and an umpire are near him.
507473,"A person with curly hair and glasses stands in front of a bathroom mirror, holding a toothbrush in their mouth and a green cell phone in their hand.",A girl is taking a selfie while brushing her teeth.,In bathroom taking selfie of herself brushing teeth.,A woman taking a picture of herself while brushing her teeth,A woman brushing her teeth while taking a selfie,A woman brushing her teeth while taking a picture of herself
508370,"Two men stand on a sidewalk, one holding a drink and the other wearing a leather jacket and holding a roll of paper towels, with a bicycle and a doll lying on the ground nearby.",A bicycle parked on top of a baby dolls head.,A couple of men as one points to the right next to a bicycle.,two men standing next to a bike parked on a street corner,A couple of people standing next to a bike.,There are two men standing next to a bike and a doll.
509014,"A group of people, including skiers and snowboarders, are gathered at the base of a snowy mountain, with a building in the background.",A group of people that are standing in the snow.,This is a picture of skiers enjoying their day on a mountain.,a bunch of people on skis are in the snow,a bunch of people that are walking across the snow,A busy ski resort with people dressed in winter gear.
